Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,200174883,2568.142235210408,4219657,54.13605941661145,658630,4255892,54.600936090938525,65404,0.8391001519990982,10215,
United States of America,Americas,35125227,10611.77,651439,196.81,114820,609613,184.17,2927,0.88,591
India,South-East Asia,31812114,2305.22,284000,20.58,42982,426290,30.89,3628,0.26,533
Brazil,Americas,19985817,9402.46,236744,111.38,32316,558432,262.72,6597,3.1,1209
Russian Federation,Europe,6379904,4371.76,161402,110.6,23120,162509,111.36,5532,3.79,794
France,Europe,6068252,9296.65,140058,214.57,28769,110969,170.01,249,0.38,48
The United Kingdom,Europe,5952760,8768.76,181828,267.84,28936,130000,191.5,570,0.84,119
Turkey,Europe,5822487,6903.67,162018,192.1,26822,51767,61.38,643,0.76,122
Argentina,Americas,4961880,10978.64,85953,190.18,14850,106447,235.52,2095,4.64,402
Colombia,Americas,4807979,9449.11,60204,118.32,6929,121484,238.75,2002,3.93,268
Spain,Europe,4545184,9721.33,127142,271.93,21876,81844,175.05,306,0.65,71
Italy,Europe,4369964,7227.64,39225,64.88,6590,128136,211.93,126,0.21,21
Iran (Islamic Republic of),Eastern Mediterranean,4019084,4785.03,227070,270.34,39357,92194,109.76,2412,2.87,409
Germany,Europe,3780985,4512.78,16674,19.9,3539,91730,109.48,123,0.15,26
Indonesia,South-East Asia,3568331,1304.58,237125,86.69,35764,102375,37.43,11823,4.32,1739
Poland,Europe,2883624,7619.24,994,2.63,176,75275,198.89,18,0.05,6
Mexico,Americas,2880409,2234.04,108563,84.2,18911,241936,187.65,2857,2.22,657
South Africa,Africa,2484009,4188.27,75484,127.27,13263,73415,123.78,2507,4.23,423
Ukraine,Europe,2256397,5159.39,5490,12.55,1052,53049,121.3,133,0.3,25
Peru,Americas,2116652,6419.57,10281,31.18,2207,196598,596.26,540,1.64,80
Netherlands,Europe,1874856,10941.76,20333,118.66,2836,17839,104.11,27,0.16,7
Czechia,Europe,1674410,15635.57,1153,10.77,227,30372,283.61,4,0.04,0
Iraq,Eastern Mediterranean,1673084,4159.57,82556,205.25,12713,18938,47.08,454,1.13,73
Philippines,Western Pacific,1619824,1478.2,53271,48.61,7342,28231,25.76,830,0.76,90
Chile,Americas,1619183,8470.21,7266,38.01,726,35671,186.6,495,2.59,31
Canada,Americas,1433775,3798.87,5858,15.52,733,26607,70.5,47,0.12,6
Bangladesh,South-East Asia,1322654,803.12,96401,58.54,12744,21902,13.3,1647,1,264
Malaysia,Western Pacific,1183110,3655.41,121634,375.81,19819,9855,30.45,1304,4.03,257
Belgium,Europe,1132934,9775.42,9068,78.24,2,25258,217.94,24,0.21,2
Sweden,Europe,1102829,10919.89,4032,39.92,921,14657,145.13,38,0.38,37
Romania,Europe,1084226,5635.95,1346,7,244,34300,178.3,17,0.09,2
Pakistan,Eastern Mediterranean,1047999,474.44,32172,14.56,4722,23575,10.67,442,0.2,46
Portugal,Europe,977406,9585.5,16969,166.42,3203,17412,170.76,92,0.9,15
Japan,Western Pacific,970460,767.3,78167,61.8,14053,15228,12.04,68,0.05,9
Israel,Europe,887513,10253.7,17676,204.22,446,6503,75.13,31,0.36,0
Hungary,Europe,809803,8382.75,376,3.89,72,30032,310.88,7,0.07,0
Jordan,Eastern Mediterranean,774554,7591.33,6172,60.49,897,10082,98.81,82,0.8,11
Serbia,Europe,723518,10389.75,2543,36.52,487,7129,102.37,21,0.3,2
Switzerland,Europe,718581,8302.86,4603,53.19,5,10364,119.75,1,0.01,0
Nepal,South-East Asia,708079,2430.19,17437,59.85,3007,9994,34.3,187,0.64,37
Thailand,South-East Asia,693305,993.27,132275,189.51,20920,5663,8.11,1101,1.58,160
United Arab Emirates,Eastern Mediterranean,686981,6945.94,10730,108.49,1519,1965,19.87,31,0.31,5
Kazakhstan,Europe,672895,3583.67,47426,252.58,0,9909,52.77,832,4.43,0
Austria,Europe,656450,7288.71,3354,37.24,597,10542,117.05,8,0.09,1
Morocco,Eastern Mediterranean,653286,1769.92,55410,150.12,10603,10015,27.13,350,0.95,66
Tunisia,Eastern Mediterranean,602757,5100.06,20119,170.23,3163,20550,173.88,1214,10.27,140
Lebanon,Eastern Mediterranean,565896,8290.98,7527,110.28,1532,7921,116.05,24,0.35,4
Saudi Arabia,Eastern Mediterranean,529995,1522.37,7887,22.65,1043,8284,23.8,84,0.24,14
Greece,Europe,503885,4834.33,16143,154.88,2855,13013,124.85,79,0.76,16
Ecuador,Americas,489089,2772.13,5356,30.36,0,31694,179.64,240,1.36,0
Bolivia (Plurinational State of),Americas,475265,4071.48,5241,44.9,727,17882,153.19,166,1.42,23
Paraguay,Americas,453367,6356.32,2873,40.28,336,15135,212.2,376,5.27,49
Belarus,Europe,449302,4754.86,6471,68.48,967,3494,36.98,70,0.74,11
Panama,Americas,437744,10145.25,6190,143.46,932,6851,158.78,70,1.62,9
Georgia,Europe,436573,10943.96,22947,575.23,3670,5986,150.06,218,5.46,38
Bulgaria,Europe,426432,6137.09,2137,30.76,429,18229,262.35,24,0.35,4
Cuba,Americas,422614,3731.16,64236,567.12,9363,3091,27.29,531,4.69,98
Costa Rica,Americas,411123,8070.54,9079,178.23,943,5070,99.53,83,1.63,11
Kuwait,Eastern Mediterranean,400979,9389.35,5500,128.79,851,2351,55.05,48,1.12,6
Slovakia,Europe,392898,7196.41,361,6.61,53,12541,229.7,5,0.09,0
Uruguay,Americas,381853,10992.59,1060,30.51,138,5976,172.03,35,1.01,4
Guatemala,Americas,377446,2106.8,18648,104.09,4399,10524,58.74,300,1.67,41
Croatia,Europe,364491,8878.62,1264,30.79,247,8270,201.45,20,0.49,3
Azerbaijan,Europe,346878,3421.17,4945,48.77,996,5039,49.7,25,0.25,5
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,346245,6787.24,917,17.98,140,3877,76,8,0.16,0
Dominican Republic,Americas,343186,3163.61,2372,21.87,336,3971,36.61,18,0.17,3
Denmark,Europe,320222,5528.5,6087,105.09,927,2550,44.02,3,0.05,0
Myanmar,South-East Asia,319250,586.75,29917,54.98,4132,10988,20.19,2436,4.48,293
Sri Lanka,South-East Asia,318755,1488.59,14553,67.96,0,4670,21.81,403,1.88,0
Venezuela (Bolivarian Republic of),Americas,308452,1084.73,6473,22.76,882,3637,12.79,113,0.4,14
Ireland,Europe,305527,6187.53,8840,179.03,1217,5044,102.15,9,0.18,9
Honduras,Americas,301700,3046.06,10013,101.09,1128,7962,80.39,249,2.51,60
Oman,Eastern Mediterranean,297724,5830.15,2189,42.87,293,3889,76.16,87,1.7,12
Egypt,Eastern Mediterranean,284472,277.98,344,0.34,57,16550,16.17,43,0.04,10
Lithuania,Europe,284432,10448.27,2393,87.9,241,4424,162.51,11,0.4,2
Ethiopia,Africa,281811,245.13,2658,2.31,511,4403,3.83,27,0.02,8
Bahrain,Eastern Mediterranean,269617,15845.14,771,45.31,122,1384,81.34,1,0.06,0
Libya,Eastern Mediterranean,260952,3797.71,17482,254.42,2485,3635,52.9,182,2.65,26
Republic of Moldova,Europe,260024,6445.87,1006,24.94,196,6266,155.33,16,0.4,5
Slovenia,Europe,259626,12488.4,760,36.56,139,4762,229.06,0,0,0
Armenia,Europe,231322,7806.38,1719,58.01,329,4632,156.32,28,0.94,7
Qatar,Eastern Mediterranean,226874,7874.69,1127,39.12,164,601,20.86,0,0,0
Kenya,Africa,206691,384.39,6750,12.55,1335,4025,7.49,130,0.24,30
Bosnia and Herzegovina,Europe,205949,6277.37,383,11.67,124,9689,295.32,3,0.09,0
Republic of Korea,Western Pacific,205702,401.22,10606,20.69,1776,2109,4.11,24,0.05,3
Zambia,Africa,197791,1075.89,4359,23.71,668,3430,18.66,92,0.5,8
Viet Nam,Western Pacific,181756,186.73,58116,59.71,7295,2327,2.39,1697,1.74,256
Algeria,Africa,176724,403.01,9593,21.88,1495,4404,10.04,243,0.55,34
Nigeria,Africa,176011,85.38,3748,1.82,747,2167,1.05,28,0.01,4
Mongolia,Western Pacific,169851,5181.09,9507,290,1178,836,25.5,40,1.22,3
Kyrgyzstan,Europe,167076,2560.87,6061,92.9,840,2372,36.36,71,1.09,9
North Macedonia,Europe,156707,7521.77,536,25.73,164,5497,263.85,6,0.29,3
Afghanistan,Eastern Mediterranean,149361,383.68,3365,8.64,428,6864,17.63,249,0.64,28
Puerto Rico,Americas,148198,5180.2,3707,129.58,378,2589,90.5,15,0.52,4
Norway,Europe,139214,2567.94,2492,45.97,476,804,14.83,5,0.09,0
Latvia,Europe,139134,7376.43,484,25.66,97,2558,135.62,4,0.21,2
Estonia,Europe,134479,10137.61,1360,102.52,258,1276,96.19,4,0.3,3
Uzbekistan,Europe,133852,399.93,6346,18.96,951,910,2.72,51,0.15,9
Albania,Europe,133310,4632.36,358,12.44,99,2457,85.38,0,0,0
Mozambique,Africa,127425,407.69,11539,36.92,1034,1526,4.88,159,0.51,26
China,Western Pacific,121175,8.24,706,0.05,108,5639,0.38,4,0,0
Namibia,Africa,119984,4722.1,2414,95.01,187,3112,122.48,185,7.28,32
Botswana,Africa,115220,4899.59,13096,556.89,0,1653,70.29,168,7.14,0
Zimbabwe,Africa,112435,756.48,8868,59.67,0,3676,24.73,336,2.26,0
Finland,Europe,109982,1984.98,4108,74.14,752,984,17.76,0,0,0
Kosovo[1],Europe,108801,5848.32,713,38.33,221,2258,121.37,3,0.16,1
Ghana,Africa,106053,341.3,3034,9.76,541,847,2.73,24,0.08,3
Cyprus,Europe,103889,8604.65,3760,311.42,575,430,35.61,18,1.49,1
Montenegro,Europe,102659,16345.26,884,140.75,267,1631,259.69,2,0.32,0
Uganda,Africa,94739,207.12,1617,3.54,202,2734,5.98,129,0.28,9
El Salvador,Americas,87498,1348.99,1439,22.19,0,2672,41.2,85,1.31,9
Cameroon,Africa,82064,309.14,0,0,0,1334,5.03,0,0,0
Cambodia,Western Pacific,79634,476.31,4482,26.81,583,1488,8.9,149,0.89,17
Maldives,South-East Asia,77895,14410.48,693,128.2,0,222,41.07,2,0.37,0
Luxembourg,Europe,74144,11844.51,400,63.9,102,824,131.63,2,0.32,2
Rwanda,Africa,73610,568.32,7989,61.68,769,850,6.56,74,0.57,6
Singapore,Western Pacific,65410,1118.05,821,14.03,95,39,0.67,2,0.03,1
Senegal,Africa,64522,385.35,5236,31.27,498,1423,8.5,116,0.69,29
Malawi,Africa,54178,283.21,3797,19.85,675,1729,9.04,168,0.88,29
Jamaica,Americas,53639,1811.41,1317,44.48,96,1207,40.76,25,0.84,4
Democratic Republic of the Congo,Africa,50793,56.71,1823,2.04,264,1045,1.17,22,0.02,0
Côte d’Ivoire,Africa,50650,192.01,875,3.32,151,334,1.27,8,0.03,2
Angola,Africa,43158,131.31,870,2.65,138,1026,3.12,26,0.08,4
Madagascar,Africa,42753,154.39,68,0.25,11,947,3.42,1,0,0
Réunion,Africa,40245,4495.08,3014,336.64,0,288,32.17,13,1.45,0
Trinidad and Tobago,Americas,39162,2798.31,1391,99.39,123,1101,78.67,53,3.79,9
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
Australia,Western Pacific,35087,137.6,1616,6.34,256,925,3.63,4,0.02,0
Malta,Europe,34590,7833.89,595,134.75,82,423,95.8,0,0,0
Fiji,Western Pacific,33920,3783.84,7724,861.63,1187,272,30.34,54,6.02,11
Cabo Verde,Africa,33906,6098.34,280,50.36,48,298,53.6,0,0,0
French Guiana,Americas,30449,10194.45,499,167.07,0,189,63.28,5,1.67,0
Eswatini,Africa,28535,2459.57,4288,369.6,1068,818,70.51,48,4.14,5
Mauritania,Africa,26902,578.58,2240,48.18,347,581,12.5,34,0.73,5
Guinea,Africa,26188,199.41,895,6.82,196,238,1.81,30,0.23,4
Syrian Arab Republic,Eastern Mediterranean,26044,148.82,114,0.65,18,1919,10.97,8,0.05,1
Suriname,Americas,25549,4355.2,521,88.81,110,654,111.48,16,2.73,2
Gabon,Africa,25440,1142.99,70,3.15,35,165,7.41,2,0.09,1
Martinique,Americas,23667,6306.74,6452,1719.32,0,147,39.17,43,11.46,0
Guyana,Americas,22643,2878.77,409,52,24,549,69.8,19,2.42,2
French Polynesia,Western Pacific,21316,7588.25,1680,598.06,457,154,54.82,7,2.49,0
Guadeloupe,Americas,21125,5279.61,2812,702.78,0,283,70.73,3,0.75,0
Haiti,Americas,20326,178.26,201,1.76,0,563,4.94,11,0.1,0
Mayotte,Africa,19518,7154.3,44,16.13,15,174,63.78,0,0,0
Seychelles,Africa,18328,18636.05,787,800.23,108,91,92.53,12,12.2,0
Papua New Guinea,Western Pacific,17787,198.8,101,1.13,7,192,2.15,0,0,0
Togo,Africa,16232,196.07,839,10.13,179,155,1.87,5,0.06,0
Tajikistan,Europe,15764,165.28,435,4.56,71,122,1.28,0,0,0
Somalia,Eastern Mediterranean,15658,98.52,335,2.11,64,832,5.23,28,0.18,4
Bahamas,Americas,15046,3826.12,589,149.78,0,292,74.25,6,1.53,0
Andorra,Europe,14797,19150.97,167,216.14,31,128,165.66,1,1.29,0
Mali,Africa,14606,72.13,42,0.21,10,534,2.64,3,0.01,0
Belize,Americas,14284,3592.3,301,75.7,121,338,85,5,1.26,1
Curaçao,Americas,13757,8383.66,379,230.97,65,127,77.4,1,0.61,0
Lesotho,Africa,13603,634.99,716,33.42,0,377,17.6,14,0.65,0
Burkina Faso,Africa,13599,65.06,39,0.19,8,169,0.81,0,0,0
Congo,Africa,13216,239.5,60,1.09,0,178,3.23,1,0.02,0
Aruba,Americas,11877,11124.33,417,390.57,70,111,103.97,2,1.87,0
Djibouti,Eastern Mediterranean,11655,1179.66,8,0.81,0,156,15.79,1,0.1,0
Timor-Leste,South-East Asia,11225,851.38,530,40.2,80,26,1.97,0,0,0
Central African Republic,Africa,11174,231.36,4023,83.3,22,98,2.03,0,0,0
South Sudan,Africa,11090,99.07,76,0.68,9,120,1.07,2,0.02,0
Equatorial Guinea,Africa,8928,636.36,48,3.42,17,123,8.77,0,0,0
Benin,Africa,8608,71,214,1.77,0,110,0.91,2,0.02,0
Jersey,Europe,8474,7788.6,488,448.53,45,71,65.26,2,1.84,1
Gambia,Africa,8392,347.25,683,28.26,96,235,9.72,23,0.95,8
Iceland,Europe,8353,2447.82,808,236.78,100,30,8.79,0,0,0
Guam,Western Pacific,8341,4942.08,89,52.73,19,143,84.73,0,0,0
Burundi,Africa,7931,66.7,1066,8.96,217,10,0.08,1,0.01,0
Nicaragua,Americas,7890,119.1,298,4.5,0,196,2.96,1,0.02,0
Lao People's Democratic Republic,Western Pacific,7305,100.4,1871,25.72,290,7,0.1,1,0.01,0
Yemen,Eastern Mediterranean,7096,23.79,69,0.23,10,1380,4.63,6,0.02,0
Eritrea,Africa,6568,185.2,29,0.82,4,35,0.99,1,0.03,0
Sierra Leone,Africa,6292,78.88,42,0.53,0,120,1.5,1,0.01,0
Niger,Africa,5663,23.39,56,0.23,5,196,0.81,1,0,0
Saint Lucia,Americas,5652,3077.98,123,66.98,6,89,48.47,1,0.54,0
Liberia,Africa,5461,107.97,57,1.13,2,220,4.35,72,1.42,0
San Marino,Europe,5179,15260.18,46,135.54,1,90,265.19,0,0,0
Gibraltar,Europe,5031,14932.77,174,516.46,31,94,279.01,0,0,0
Chad,Africa,4974,30.28,2,0.01,1,174,1.06,0,0,0
Isle of Man,Europe,4832,5682.57,564,663.28,72,29,34.1,0,0,0
United States Virgin Islands,Americas,4691,4492.22,241,230.79,28,39,37.35,3,2.87,0
Guinea-Bissau,Africa,4629,235.21,295,14.99,41,79,4.01,5,0.25,1
Mauritius,Africa,4592,361.07,679,53.39,99,20,1.57,1,0.08,0
Barbados,Americas,4422,1538.76,63,21.92,5,48,16.7,0,0,0
Comoros,Africa,4029,463.32,5,0.57,1,147,16.9,0,0,0
Liechtenstein,Europe,3195,8377.69,8,20.98,0,58,152.08,0,0,0
Monaco,Europe,2940,7491.59,107,272.65,14,33,84.09,0,0,0
Sint Maarten,Americas,2824,6585.51,95,221.54,26,34,79.29,0,0,0
Saint Martin,Americas,2797,7235.06,218,563.9,0,30,77.6,0,0,0
Bermuda,Americas,2589,4157.5,36,57.81,3,33,52.99,0,0,0
Bhutan,South-East Asia,2543,329.57,37,4.8,3,2,0.26,0,0,0
New Zealand,Western Pacific,2524,52.34,14,0.29,1,26,0.54,0,0,0
British Virgin Islands,Americas,2500,8268.02,111,367.1,0,31,102.52,6,19.84,0
Turks and Caicos Islands,Americas,2486,6420.79,13,33.58,0,18,46.49,0,0,0
Sao Tome and Principe,Africa,2463,1123.84,31,14.14,6,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2297,2070.49,9,8.11,0,12,10.82,0,0,0
Bonaire,Americas,1686,8061.2,16,76.5,3,17,81.28,0,0,0
Saint Barthélemy,Americas,1335,13505.31,270,2731.41,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1311,1338.72,23,23.49,8,43,43.91,0,0,0
United Republic of Tanzania,Africa,1017,1.7,0,0,0,21,0.04,0,0,0
Faroe Islands,Europe,987,2019.85,7,14.33,0,2,4.09,1,2.05,0
Guernsey,Europe,977,1545.98,36,56.97,11,18,28.48,1,1.58,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,644,979.91,4,6.09,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,600,1127.99,22,41.36,0,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,339,77.49,6,1.37,0,3,0.69,0,0,0
Dominica,Americas,218,302.82,8,11.11,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,198,344.01,8,13.9,0,2,3.47,0,0,0
Grenada,Americas,169,150.19,1,0.89,0,1,0.89,0,0,0
Greenland,Europe,135,237.79,25,44.04,13,0,0,0,0,0
New Caledonia,Western Pacific,134,46.94,1,0.35,0,0,0,0,0,0
Anguilla,Americas,114,759.9,1,6.67,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,63,1808.79,3,86.13,2,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,8,413.86,1,51.73,1,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
